Depth,hzlm,UCS_pred,UCS_traditional,Es_pred,Es_traditional,us_pred,us_traditional,Fai_pred,Fai_traditional,C_pred,C_traditional
2917.125,0,48.89437342,51.73,6.647668335,6.74,0.167484192,0.16,26.64871214,26.23,12.24459331,13.14
2917.25,0,48.91044223,51.55,6.639279187,6.75,0.167519487,0.16,26.71903357,26.31,12.28904741,13.1
2917.375,0,49.03965455,51.43,6.597482004,6.76,0.16761148,0.16,26.6290953,26.4,12.34332209,13.08
2917.5,0,47.89588419,51.22,6.572747012,6.76,0.168581311,0.16,26.67525744,26.49,12.09420233,13.03
2917.625,0,47.54934993,51.25,6.560640094,6.76,0.168047148,0.16,26.83710704,26.48,12.07836353,13.03
2917.75,0,47.39253056,51.6,6.56147453,6.78,0.168257661,0.16,26.87559578,26.44,12.06277316,13.12
2917.875,0,48.91255369,52.31,6.636464847,6.8,0.167751909,0.16,26.68069932,26.36,12.39251238,13.28
2918,0,49.33084892,52.77,6.660922354,6.82,0.167359043,0.16,26.60843644,26.3,12.41377271,13.39
2918.125,0,49.8109861,52.49,6.651364186,6.81,0.16738821,0.16,26.59767541,26.34,12.44555585,13.33
2918.25,0,49.93539288,51.43,6.65188935,6.77,0.16743085,0.16,26.59762779,26.46,12.47045922,13.08
2918.375,0,50.11512136,50.24,6.639444785,6.7,0.167605915,0.16,26.4637287,26.53,12.53472289,12.8
2918.5,0,50.1559661,50.12,6.629842221,6.65,0.16710685,0.16,26.28691544,26.28,12.57901909,12.76
2918.625,0,49.14486814,50.85,6.573731803,6.64,0.167417641,0.16,26.22989919,25.92,12.28661455,12.92
2918.75,0,49.45856239,51.96,6.644423655,6.66,0.16765066,0.16,26.01220875,25.65,12.38494935,13.18
2918.875,0,49.50585286,52.76,6.648710798,6.7,0.167711752,0.16,26.03045793,25.6,12.34493758,13.37
2919,0,50.62728788,53.01,6.688716844,6.73,0.167116444,0.16,25.71740721,25.68,12.56109449,13.43
2919.125,0,50.63199128,53.01,6.69296319,6.73,0.167084073,0.16,25.73737796,25.74,12.5829685,13.43
2919.25,0,50.88133664,53.22,6.695336383,6.73,0.167056711,0.16,25.68172804,25.65,12.66586435,13.48
2919.375,0,50.92797024,53.37,6.695219609,6.72,0.167056711,0.16,25.67174229,25.54,12.6880112,13.51
2919.5,0,49.7617935,53.15,6.665800081,6.71,0.167352376,0.16,25.81718227,25.53,12.46915328,13.46
2919.625,0,49.4461108,52.78,6.662083096,6.7,0.167352978,0.16,25.96592982,25.58,12.44172754,13.37
2919.75,0,49.47564076,52.8,6.666389966,6.69,0.167485112,0.16,25.93389756,25.55,12.46517794,13.38
