Depth,hzlm,UCS_pred,UCS_traditional,Es_pred,Es_traditional,Fai_pred,Fai_traditional,us_pred,us_traditional,C_pred,C_traditional
2833.125,0,35.1321869,43.2,5.774236206,5.89,25.34981957,20.93,0.200437125,0.2,8.970937859,10.94
2833.25,0,37.31674523,43.06,5.865252147,5.89,25.34487183,20.94,0.200546337,0.2,9.619529801,10.91
2833.375,0,39.55534498,41.95,5.916176251,5.85,25.20126559,21.07,0.190077075,0.2,10.10682658,10.65
2833.5,0,40.32051602,40.07,5.967248091,5.8,25.01439521,21.3,0.189124751,0.2,10.28917499,10.21
2833.625,0,40.44058431,38.76,5.979506927,5.76,24.92746618,21.45,0.189152488,0.2,10.32217653,9.9
2833.75,0,39.70282604,38.33,5.961009253,5.75,25.15904806,21.5,0.189744146,0.2,10.10677537,9.79
2833.875,0,38.48070729,35.99,5.885269188,5.68,24.97763896,21.79,0.19069067,0.2,9.788159399,9.23
2834,0,36.51825095,29.84,5.799328165,5.5,24.97847121,22.54,0.200747093,0.21,9.402798565,7.72
2834.125,0.715,34.59081238,21.65,5.67370598,5.26,24.96823008,23.59,0.202273163,0.23,8.803004489,5.62
2834.25,0.761,32.61227003,19.4,5.568116624,5.08,25.38924715,23.88,0.211581814,0.24,8.328467907,5.03
2834.375,0.855,29.94889383,15.92,5.522570285,4.97,25.63667179,24.35,0.211846793,0.25,7.834735401,4.1
2834.5,0.968,29.81405013,15.21,5.51971011,4.75,26.2521076,24.44,0.211267893,0.25,7.74898952,3.91
2834.625,0.986,31.3983487,17.47,5.453523102,4.55,26.30791769,24.14,0.211748571,0.25,8.138515247,4.52
2834.75,0.838,33.20261593,14.3,5.593036662,3.72,25.72700537,24.57,0.202524973,0.26,8.465654918,3.67
2834.875,0.651,34.02878482,14.68,5.651959313,2.71,25.11704745,26.21,0.202138563,0.27,8.680024909,3.76
2835,0.545,34.4375324,12.49,5.704781614,2.19,24.83623943,28.29,0.201123804,0.28,8.830767802,3.14
2835.125,0.505,36.34730384,13.13,5.764659216,2.23,24.58116576,29.05,0.201082007,0.28,9.328381778,3.31
2835.25,0.497,37.65255783,14.73,5.80138957,2.46,24.29680686,29.05,0.201223588,0.27,9.649711245,3.75
2835.375,0.512,37.62968298,14.37,5.807812835,2.38,24.28823849,29.26,0.201143597,0.27,9.609744994,3.65
2835.5,0.54,37.37463033,12.22,5.804541883,2.02,24.47519209,29.94,0.200980926,0.28,9.592969133,3.05
2835.625,0.562,37.26322575,10.97,5.794406459,1.81,24.53552685,30.53,0.200985392,0.28,9.540258313,2.7
2835.75,0.575,37.17775299,12.58,5.78309902,2.08,24.58702716,30.36,0.200979392,0.28,9.524372981,3.15
2835.875,0.593,37.05795653,18.85,5.78389315,3.12,24.57961211,28.7,0.201092002,0.27,9.422732228,4.86
2836,0.617,36.90227742,18.12,5.779295568,5.02,24.80982774,26.71,0.200754783,0.25,9.350579046,4.68
2836.125,0.622,37.03779843,26.31,5.785556932,5.24,24.8819544,22.99,0.200658875,0.23,9.354258841,6.82
2836.25,0.612,37.08134484,30.56,5.783612996,5.52,24.94910622,22.45,0.200319021,0.21,9.391827994,7.89
2836.375,0.6,36.8148429,41.11,5.784795043,5.83,24.88157331,21.17,0.201365588,0.2,9.361079172,10.45
2836.5,0.583,36.65900879,49.97,5.800342265,6.09,24.88597619,20.15,0.201764834,0.18,9.440111967,12.49
2836.625,0.552,36.85084684,49.43,5.783958218,6.07,24.59587794,20.21,0.201699137,0.18,9.452893048,12.37
2836.75,0.523,37.31063766,39.69,5.810908228,5.79,24.236544,21.34,0.201181185,0.19,9.503432564,10.12
2836.875,0.505,37.24907207,28.23,5.764885243,5.45,24.27451507,22.75,0.201049794,0.21,9.566581487,7.31
2837,0.499,37.00428069,20.6,5.756727876,5.23,24.25733549,23.73,0.201216586,0.23,9.485877358,5.35
2837.125,0.494,36.59370783,20.53,5.741325274,5.11,23.81757014,23.74,0.201226866,0.24,9.364688568,5.33
2837.25,0.495,35.23461861,17.45,5.708132624,5.03,23.33739669,24.14,0.201596801,0.25,9.071279641,4.51
2837.375,0.55,33.56609316,15.53,5.622260433,4.85,23.73903804,24.4,0.20861934,0.25,8.778035763,4
2837.5,0.738,30.23902867,16.88,5.533108924,4.4,24.19863045,24.22,0.210519554,0.26,7.910571327,4.36
2837.625,1.191,28.35550304,15.58,5.33453065,4.1,25.976539,24.71,0.214115541,0.26,7.10113456,4.01
2837.75,2.122,27.33625177,14.75,5.248209967,3.95,27.76246407,25.43,0.221161546,0.26,7.417236972,3.78
2837.875,3.772,24.0944119,15,4.979333616,3.97,28.88837349,25.02,0.224273852,0.26,6.422115853,3.85
2838,5.606,25.10513413,15.67,4.887370378,4.08,29.64156568,24.38,0.223813863,0.26,6.865119005,4.04
2838.125,5.126,25.73900371,16.06,4.995967954,4.18,29.63165507,24.33,0.223358469,0.26,6.936195807,4.14
2838.25,2.985,30.47946557,15.78,5.231207506,4.11,28.58672831,24.37,0.212347756,0.26,7.754716315,4.07
2838.375,1.557,35.25231961,14.21,5.580598889,3.7,27.0358685,24.58,0.200987274,0.26,8.9812148,3.64
2838.5,0.94,40.54636117,12.02,5.786205152,3.16,25.89979492,25.22,0.188708354,0.27,10.26485217,3.04
2838.625,0.68,45.08233403,9.97,6.032679796,2.81,24.98917027,27.42,0.182708172,0.27,11.22491388,2.46
2838.75,0.582,46.30414625,15.83,6.118305782,2.74,24.8424633,27.8,0.178490937,0.27,11.83145168,4.06
2838.875,0,45.43309708,16.75,6.162205407,2.84,24.79928914,28.19,0.178419362,0.27,11.61622167,4.3
2839,0,45.60295392,17.61,6.174311646,2.96,24.53352078,28.27,0.178347946,0.27,11.6506434,4.53
2839.125,0,45.4661276,18.12,6.164705025,3.02,24.45969685,28.31,0.178410646,0.27,11.68287809,4.67
2839.25,0,43.99659194,18.58,6.136049024,3.1,24.45289624,28.21,0.181507409,0.27,11.3591475,4.79
2839.375,0,42.95624157,10.58,6.095212383,3.2,24.53797791,28.81,0.182503515,0.27,10.77452818,2.61
2839.5,0,41.69422656,11.33,6.059120632,3.28,24.40367565,27.82,0.18891477,0.27,10.61377106,2.83
2839.625,0,41.55782541,11.84,6.021570578,3.3,24.06331877,26.9,0.190171609,0.27,10.56538893,2.98
2839.75,0,42.37177994,12.13,6.034153081,3.32,23.8199657,26.36,0.188870448,0.27,10.81122054,3.06
2839.875,0,42.78209535,12.67,6.04054944,3.42,23.40490965,25.9,0.18989374,0.26,10.8247204,3.22
2840,0,42.86707188,13.46,6.039836891,3.57,23.06304422,25.33,0.188735366,0.26,10.86685601,3.43
2840.125,0,42.85877963,13.69,6.04089984,3.59,22.99281304,24.87,0.189151519,0.26,10.86906225,3.5
2840.25,0,42.09722723,12.44,6.024340775,3.26,23.16439542,25.07,0.189298489,0.27,10.73888569,3.16
2840.375,0,41.49867596,9.69,6.009443721,2.63,23.94461917,26.52,0.189417209,0.27,10.64088615,2.39
2840.5,0,40.86980535,11.56,5.991719394,2.09,24.11985076,27.81,0.189550285,0.28,10.37020478,2.89
2840.625,0,40.5243087,10.67,5.985712261,1.86,24.38642708,29.2,0.189955048,0.29,10.3310685,2.64
2840.75,0,40.48150624,11.45,5.988793683,1.93,24.6524108,29.81,0.190223572,0.28,10.30111189,2.84
2840.875,0,40.51213131,12.87,5.996479351,2.13,24.57811331,30,0.189442283,0.28,10.31595997,3.23
2841,0,40.34505065,12.65,6.013524481,2.08,24.69818449,30.3,0.189982768,0.28,10.375871,3.17
2841.125,0,40.46748451,10.48,6.04664963,1.73,24.86441246,30.83,0.189922396,0.29,10.38080099,2.57
2841.25,0,40.31854132,8.88,6.047733613,1.46,24.95564849,31.35,0.190547534,0.3,10.30984954,2.12
2841.375,0,41.06428533,10.06,6.039402961,1.63,24.35902861,31.53,0.189919196,0.29,10.45528091,2.44
2841.5,0,41.43689191,16.36,6.036104149,2.58,24.14297438,30.91,0.190265783,0.28,10.50770561,4.17
2841.625,0,41.1287713,33.3,6.040992965,4.96,24.21129895,28.61,0.18924289,0.25,10.45054575,8.63
2841.75,0,40.38505606,25.56,6.028755681,5.29,24.54589466,28.95,0.189944899,0.23,10.36465656,6.63
2841.875,0,39.62921494,33.86,6.010363525,5.58,24.92345368,26.4,0.189765513,0.21,10.2652413,8.76
2842,0,38.50028046,35.45,5.98743003,5.76,25.63430645,24.24,0.18973663,0.2,9.940221983,9.14
2842.125,0,36.31184882,37.61,5.977886968,5.77,26.55781795,22.84,0.191671948,0.2,9.336037379,9.65
2842.25,0,34.38664669,33.08,5.929440128,5.63,27.03191047,23.15,0.19201618,0.21,8.652177276,8.53
2842.375,0,33.9736626,32.05,5.930355595,5.4,27.16352154,23.07,0.198337567,0.22,8.69192357,8.28
2842.5,0,33.82526201,25.8,5.902239476,5.24,26.86425626,23.57,0.198133235,0.23,8.487746189,6.69
2842.625,0,35.0901001,25.73,5.90241819,5.24,26.34408277,23.59,0.198661756,0.23,8.870113484,6.68
2842.75,0,37.18475934,30.75,5.912766526,5.36,24.60223334,23.08,0.198686913,0.22,9.494342318,7.95
2842.875,0,39.65308779,30.23,5.922681806,5.52,23.23569659,22.89,0.196949647,0.21,10.07961685,7.81
2843,0,40.08160774,33.82,5.930722432,5.62,23.07149331,22.05,0.191066719,0.21,10.18766229,8.7
2843.125,0,38.83490206,34.67,5.932986333,5.64,23.20096101,21.95,0.191643621,0.21,9.940329162,8.91
2843.25,0,36.47232793,35.5,5.86357357,5.66,24.31279441,21.84,0.198521533,0.21,9.408191951,9.11
2843.375,0,36.77222862,36.44,5.893332207,5.69,25.15600765,21.73,0.199657522,0.21,9.506294268,9.34
2843.5,0,35.19589108,36.47,5.887635926,5.7,26.32756384,22.04,0.200144431,0.2,9.228835295,9.35
2843.625,0,34.31502853,35.71,5.861788195,5.7,26.97105154,22.73,0.200428279,0.2,8.881603694,9.18
2843.75,0,33.65963356,35.39,5.852238143,5.7,27.31240054,23.02,0.20334085,0.2,8.655664197,9.1
2843.875,0,33.71309091,35.51,5.862330612,5.7,27.14106006,22.8,0.202801889,0.2,8.554833731,9.13
2844,0,33.76446955,35.54,5.895841361,5.68,26.84723287,22.2,0.201674167,0.21,8.696412054,9.13
2844.125,0,34.56138128,33.56,5.877760101,5.61,26.91574979,22.08,0.193771642,0.21,8.806912533,8.64
2844.25,0,35.7946723,28.82,5.93559377,5.47,26.96658494,22.67,0.191897077,0.22,9.156651474,7.46
2844.375,0,37.06430289,23.12,5.973682302,5.3,26.67765651,23.4,0.191098597,0.23,9.505970138,6
2844.5,0,38.41717767,22.38,6.017697341,5.15,26.37188201,23.49,0.190713603,0.24,9.793238596,5.81
2844.625,0,38.92182952,16.34,6.01275538,5.01,26.1505252,24.29,0.190671574,0.25,9.938963097,4.22
2844.75,0,39.11181127,12.82,6.011445753,3.34,25.95201889,24.77,0.190841707,0.27,9.985259279,3.27
2844.875,0,39.29735352,10.89,6.011333461,2.13,25.80191402,25.68,0.190174838,0.29,10.10218934,2.73
2845,0,38.60583995,9.04,6.009500539,1.63,26.02715814,28.57,0.190982598,0.29,9.907431853,2.19
2845.125,0,38.12959629,9.59,5.976705973,1.66,26.22458609,29.67,0.190632347,0.29,9.689255872,2.33
2845.25,0,37.1024522,11.67,5.927768989,1.98,26.33442049,29.69,0.191859824,0.28,9.475227579,2.9
2845.375,0,36.34550779,14.82,5.909013468,2.48,26.12783091,29.13,0.193905152,0.28,9.40070837,3.77
2845.5,0,35.8369944,20.74,5.913022224,3.43,26.28654307,28,0.194535961,0.26,9.334652132,5.37
2845.625,0,36.50283253,17.81,5.961753261,5.04,26.68718019,28.13,0.191044013,0.25,9.493733617,4.58
2845.75,0,37.75829985,19.21,6.005491348,5.3,26.71932331,28.25,0.189488679,0.23,9.521182435,4.96
2845.875,0,38.28035112,26.27,6.072431439,5.61,26.57666673,28.25,0.188521018,0.21,9.699237919,6.82
2846,0,38.4835996,30.46,6.103813345,5.84,26.59698871,28.48,0.187689954,0.2,9.812917625,7.91
2846.125,0,39.60489192,32.79,6.194061703,5.95,26.78673697,28.42,0.180235409,0.19,9.866623141,8.5
2846.25,0,40.22157593,35.2,6.196131745,6.02,26.98386229,27.84,0.180101704,0.19,10.12286209,9.11
2846.375,0,41.56744427,37.01,6.28629654,6.04,27.22374456,27.11,0.177708963,0.19,10.24204087,9.56
2846.5,0,41.48677962,36.96,6.340916361,6.01,27.24284887,26.85,0.173240449,0.19,10.35508919,9.54
2846.625,0,42.23988895,35.04,6.360162341,5.95,27.22711859,27.29,0.17401545,0.19,10.36876077,9.07
2846.75,0,42.03205853,33.15,6.362189531,5.89,27.16510216,27.66,0.17375351,0.19,10.58547079,8.59
2846.875,0,42.17866529,32.42,6.365440067,5.83,26.9966445,27.32,0.172696877,0.2,10.62080428,8.4
2847,0,40.11126034,33.29,6.285795656,5.78,27.26316979,26.09,0.173525366,0.2,10.39870944,8.61
2847.125,0,39.78275983,35.6,6.274957601,5.77,27.37171834,24.39,0.171875415,0.2,10.17834723,9.18
2847.25,0,41.36701065,38.49,6.304595378,5.81,27.41613956,23.06,0.171339623,0.2,10.41089146,9.87
2847.375,0,41.97658866,41.39,6.323780561,5.88,27.28994136,22.24,0.171031814,0.2,10.67548292,10.55
2847.5,0,43.34858014,43.46,6.354626122,5.92,26.97235776,21.48,0.170561286,0.19,10.99970023,11.02
2847.625,0,43.79614884,42.04,6.363252166,5.86,26.7646384,21.24,0.170736843,0.2,11.07827,10.68
2847.75,0,43.94939557,36.13,6.340430401,5.7,26.77658169,22.31,0.170641173,0.2,11.10602367,9.27
2847.875,0,42.55045815,29.3,6.29521604,5.53,26.85966675,24.28,0.171127003,0.21,10.80794491,7.59
2848,0,42.09057679,26.17,6.305781418,5.47,27.07524955,25.69,0.171311744,0.22,10.7733672,6.79
2848.125,0,41.83788513,28.61,6.279691319,5.58,27.13176353,25.92,0.17281167,0.21,10.72159144,7.42
2848.25,0,42.10724938,34.84,6.273704201,5.8,26.99321019,25.36,0.173819057,0.2,10.7537208,9
2848.375,0,42.66264511,40.68,6.25085065,6.01,26.69503711,24.93,0.175291496,0.19,10.73085759,10.44
2848.5,0,42.07452763,42.47,6.223212182,6.12,26.08397298,25.25,0.176721429,0.18,10.78850193,10.88
2848.625,0,43.16425349,41.09,6.150134842,6.12,25.37216079,25.92,0.180947939,0.18,10.87776685,10.56
2848.75,0,42.77252577,39.59,6.142945429,6.08,24.9729559,26.26,0.181672593,0.19,10.67699418,10.19
2848.875,0,41.52266754,39.02,6.052254547,6.04,24.56264835,26.08,0.189254023,0.19,10.53158037,10.05
2849,0,40.48122399,39.04,5.988946178,6,24.54874275,25.62,0.189624917,0.19,10.1755541,10.05
2849.125,0,39.99161105,38.97,5.956071063,5.96,24.78227827,25.18,0.190454831,0.19,10.07876794,10.02
2849.25,0,38.3336817,38.75,5.906980615,5.93,24.9239813,24.86,0.191541008,0.19,9.79393723,9.96
2849.375,0,38.03942982,38.87,5.912385143,5.91,24.90386586,24.51,0.198653471,0.19,9.816399348,9.99
2849.5,0,38.30936201,39.31,5.906839401,5.9,24.79887488,24.16,0.199135568,0.19,9.814587943,10.09
2849.625,0,37.81235719,39.48,5.825679331,5.91,24.8076775,24.08,0.199684878,0.19,9.653946596,10.13
